"Time","mortgage rate"
"2021-02-01",0
"2021-03-01",0
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",0
"2022-02-01",0
"2022-03-01",0
"2022-04-01",0
"2022-05-01",0
"2022-06-01",0
"2022-07-01",0
"2022-08-01",0
"2022-09-01",0
"2022-10-01",29
"2022-11-01",37
"2022-12-01",21
"2023-01-01",14
"2023-02-01",10
"2023-03-01",8
"2023-04-01",2
"2023-05-01",3
"2023-06-01",2
"2023-07-01",5
"2023-08-01",2
"2023-09-01",1
"2023-10-01",1
"2023-11-01",1
"2023-12-01",3
"2024-01-01",1
"2024-02-01",29
"2024-03-01",64
"2024-04-01",68
"2024-05-01",14
"2024-06-01",26
"2024-07-01",38
"2024-08-01",58
"2024-09-01",86
"2024-10-01",59
"2024-11-01",71
"2024-12-01",54
"2025-01-01",49
"2025-02-01",52
"2025-03-01",77
"2025-04-01",94
"2025-05-01",50
"2025-06-01",57
"2025-07-01",74
"2025-08-01",76
"2025-09-01",100
"2025-10-01",66
"2025-11-01",56
"2025-12-01",51
"2026-01-01",68
"2026-02-01",48